Author,Style,Alpha,Size,Color,Marker,Label,147Sm/144Nd,143Nd/144Nd,Lambda
10000569／2014／030（01）025770 ,-,0.6,10,red,o,17pl,.3466,.51376,6.54E-12
10000569／2014／030（01）025770 ,-,0.6,10,red,o,17ap,.3684,.51397,6.54E-12
10000569／2014／030（01）025770 ,-,0.6,10,red,o,17py,.3484,.51372,6.54E-12
10000569／2014／030（01）025770 ,-,0.6,10,red,o,17#,.4032,.51425,6.54E-12
10000569／2014／030（01）025770 ,-,0.6,10,red,o,56--5,.1714,.51263,6.54E-12
10000569／2014／030（01）025770 ,-,0.6,10,red,o,18pl,.3208,.51366,6.54E-12
10000569／2014／030（01）025770 ,-,0.6,10,red,o,18pl,.4247,.51449,6.54E-12
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
