DataType,Label,Ce,Nd,Sm,Gd,Tb,Dy,Ho,Er,Yb,Lu,Th,U,Hf,Zr,Ce4
Base,98-522,52.79,24.85,4.96,4.3,0.63,4.04,0.79,2.24,2.3,0.34,16.88,4.61,5.47,156.88,52.79
Zircon,521-02,27.99,3.54,6.11,32.65,11.60,130.34,47.15,215.53,385.83,72.89,539.94,541.37,8963.76,497555,27.99
Zircon,521-03,21.34,2.68,5.34,27.10,9.53,107.17,38.93,174.98,308.15,57.26,338.94,364.63,8080.83,497555,21.34
Zircon,521-04,19.13,5.95,11.90,60.22,19.45,206.70,69.08,286.82,454.09,79.07,484.74,393.02,7217.99,497555,19.13
Zircon,521-05,25.09,2.76,5.44,30.58,11.48,139.43,55.29,269.67,525.45,102.78,398.75,602.75,8149.73,497555,25.09
Zircon,521-06,25.01,3.31,6.58,33.93,12.81,150.39,57.66,276.50,517.10,97.44,588.23,626.55,7499.11,497555,25.01
Zircon,521-07,15.37,3.49,6.43,35.67,12.37,137.31,49.03,212.55,374.05,68.88,281.79,323.72,8070.96,497555,15.37
Zircon,521-08,18.26,1.80,3.57,19.62,7.50,87.50,33.29,155.99,307.70,59.69,226.99,358.03,9970.61,497555,18.26
Zircon,521-09,19.60,6.88,10.76,54.03,18.89,208.57,72.44,314.06,525.02,93.69,455.81,433.04,9065.15,497555,19.60
Zircon,521-10,24.96,6.68,11.47,50.30,17.93,201.96,73.22,327.37,560.63,102.45,583.66,604.38,10272.77,497555,24.96
