Clay,Sand,Silt,Label,Index_old,Marker,Color,Size,Alpha,Style,Width,
60.0,25.0,15.0,First Group,E3d2l1,o,green,50,0.6,-,0.4,SQD2
44.0,31.0,25.0,,E3d2l2,o,green,50,0.6,-,0.4,SQD2
62.6,18.7,18.7,,E3d2l3,o,green,50,0.6,-,0.4,SQD2
67.7,9.0,23.3,,E3d2l4,o,green,50,0.6,-,0.4,SQD2
66.6,21.8,11.6,,E3d2l5,o,green,50,0.6,-,0.4,SQD2
67.5,18.8,13.7,,E3d2l6,o,green,50,0.6,-,0.4,SQD2
59.5,20.5,20,,E3d2l7,o,green,50,0.6,-,0.4,SQD2
69.8,15.2,15,,E3d2l8,o,green,50,0.6,-,0.4,SQD2
59.8,15.2,25,,E3d2l9,o,green,50,0.6,--,0.5,SQD2
62.6,18.7,18.7,,E3d2l10,o,green,50,0.6,--,0.5,SQD2
61.3,16.8,21.9,,E3d2l11,o,green,50,0.6,--,0.5,SQD2
58.3,20,21.7,,E3d2l12,o,green,50,0.6,--,0.5,SQD2
66.7,13.0,20.3,,E3d2l13,o,green,50,0.6,--,0.5,SQD2
51.5,30.5,18.0,,E3d2l14,o,green,50,0.6,--,0.5,SQD2
74.3,11.4,14.3,,E3d2l15,o,green,50,0.6,--,1.5,SQD2
50.0,35.0,15.0,Second Group,E3d2l16,d,blue,50,0.6,--,2.5,SQD2
54.4,18.4,27.2,,E3d2l17,d,blue,50,0.6,--,3.5,SQD3
80.3,11.8,7.9,,E3d2l18,d,blue,50,0.6,--,4.5,SQD3
51.3,27.1,21.6,,E3d2l19,d,blue,50,0.6,--,5.5,SQD3
56.4,28.3,15.3,,E3d2l20,d,blue,50,0.6,--,6.5,SQD3
58.3,20.0,21.7,Third Group,E3d2l21,D,grey,50,0.6,--,7.5,SQD3
66.7,18.0,15.3,,E3d2l22,D,grey,50,0.6,--,8.5,SQD3
76.0,12.0,12.0,,E3d2l23,D,grey,50,0.6,--,0.5,SQD3
71.9,13.5,14.6,,E3d2l24,D,grey,50,0.6,--,0.5,SQD3
70.0,17.5,12.5,,E3d2l25,D,grey,50,0.6,--,0.5,SQD3
69.8,11.0,19.2,,E3d2l26,D,grey,50,0.6,--,0.5,SQD3
51.8,48.2,0.0,The Last Group,E3d2l27,s,red,50,0.6,--,0.5,SQD3
40.8,59.2,0.0,,E3d2l28,s,red,50,0.6,--,0.5,SQD3
61.0,39.0,0.0,,E3d2l29,s,red,50,0.6,--,1.5,SQD3
40.0,60.0,0.0,,E3d2l30,s,red,50,0.6,--,2.5,SQD3
